ModelID,0,1,2,3,4,5,6,7,8,9
ACH-002446,-0.3792196,1.0088938,0.73852724,1.5311041,1.2105657,0.7840816,-0.1921078,-0.04102069,0.1809312,-0.34814012
ACH-002233,-0.24814445,-0.2813781,0.36623228,0.91867256,-0.75811434,-0.043993786,-0.82079667,-1.634799,-1.3184183,-0.3125697
ACH-000435,0.2876007,-0.7079771,-0.6355543,0.43170357,-0.6692492,1.146802,-0.4287681,-1.0094428,-1.4588044,0.7165047
ACH-001192,0.6629074,-0.40000352,-0.3881288,-0.38419467,-1.6769481,-0.13046956,-0.329643,1.1302061,0.74164623,0.03962332
ACH-001745,1.6467471,0.23322234,0.09113039,1.3388125,0.94602513,1.8418804,-0.82243496,0.57255065,1.6199826,1.2797606
ACH-000713,0.5175832,-0.117605776,-0.7698898,0.16443871,-2.0271957,-1.1081386,2.4111838,-0.19568476,-1.1536291,0.7067537
ACH-000864,1.3518572,-1.051182,1.1048949,-1.4758422,-1.6298671,-0.2586103,0.3559847,-0.30953348,0.64457166,-0.81166095
ACH-001853,0.3053602,-0.06538184,-0.036442015,-0.48033103,0.30626148,-1.7672225,-0.62386584,-0.8730982,-1.018269,0.04479458
ACH-002800,1.5329803,0.013042271,-0.9358946,-0.9327754,0.8513649,-0.35643828,0.771444,0.44966602,0.6805934,-0.31531093
ACH-002160,1.1083724,-0.16577932,1.6773605,-0.42988807,-0.5986137,-0.58874667,0.8661182,0.37219292,1.0408789,-1.1693058
ACH-001399,-0.7934312,1.8545426,0.5873858,-0.06917295,0.07725179,-0.22451738,-1.7709612,0.34563825,-0.7958936,0.90496016
ACH-001277,1.5652792,-1.7191582,-0.2203069,-1.1904228,-0.4088205,1.9171171,-0.8117224,-0.93837196,0.14879382,-0.048095573
ACH-002257,-1.8817517,0.9213273,-0.34312877,0.011281669,1.2537982,-0.12193179,-1.4331305,-0.07901013,2.4048567,0.11430853
ACH-000160,-0.23992784,-0.49168926,1.8779366,-0.5049161,0.57170105,0.473883,0.823478,0.08620323,0.82551,1.3887235
ACH-000479,-1.8622516,-1.0538965,-0.043361604,-0.89087045,0.47716606,0.41491482,-0.9886432,-0.15539166,-0.83475566,1.6824919
ACH-000740,0.40705335,1.0475329,0.27418485,-1.1724274,0.31139788,-0.16752565,0.43192163,-1.039325,-0.6460705,-1.2189689
ACH-001765,-0.430189,-0.108222194,0.92436415,0.3970474,0.71440196,-1.6863465,-0.1743598,-0.70580786,1.6842321,-0.29714495
ACH-000556,1.0187616,0.08033043,-0.09036285,-0.22383353,0.9430959,-1.2642391,-1.8470594,-0.52533966,-0.87198067,-1.128236
ACH-000155,-0.8206764,1.3858578,-0.5871322,0.58627826,-0.9994205,0.35946,0.83662397,2.489081,0.27522472,0.3816272
ACH-000867,1.9415791,-0.54107594,-0.48498496,0.48588973,-1.812506,-1.5318938,-0.11229251,-0.21975599,-0.45821428,-0.7914535
ACH-001377,0.61334026,0.1748004,0.9238365,-0.041496456,0.4099782,-0.19520082,0.024354622,-1.0927086,-0.12779337,3.413269
ACH-000422,-0.7566006,0.39679912,0.66966414,-0.932176,0.67759997,2.8212435,2.0466843,0.822799,0.6973201,0.18092293
ACH-001419,0.2877037,0.10439232,-0.30491394,0.51579595,0.56676775,1.5421941,-0.5493065,0.09515232,-1.7545185,1.1083905
ACH-002291,-0.3055794,-0.56688,0.037640885,-1.0946931,-0.23703307,2.1339107,0.4895904,-0.6442467,0.94375604,0.44803762
ACH-000291,1.7240068,0.620239,-0.15971304,-0.50752705,2.950961,-0.16400239,-0.39152038,-0.52790684,1.0144987,-0.4978606
ACH-000260,0.9481789,0.9864583,0.0027499236,-0.044534273,1.1499671,0.2354048,-0.11643812,-1.061131,2.8838902,0.042565882
ACH-000841,-1.2374892,0.8834032,-0.11736809,0.1684407,-1.807661,0.1888115,-0.18322615,0.42179394,-0.42832717,-1.0580224
ACH-000495,0.33676696,-0.14021006,-1.4216387,-0.14305401,0.3667481,-0.5444339,-1.0925828,0.79034805,0.3934794,0.6403637
ACH-001038,0.6082723,-0.19483954,1.7887657,0.31864718,1.1262858,-1.5364977,0.31995273,1.0630417,-0.36873457,-0.7958044
ACH-000941,0.36280233,-0.23281571,-0.6235444,-0.97638273,1.5310582,-0.61872554,0.71619844,-0.5357475,-0.6819125,-0.83370996
ACH-000776,-1.0616946,0.22311066,0.08010286,-0.25140187,-1.1003864,0.13117284,-0.21365581,-2.1014416,0.64271027,1.6008601
ACH-000839,0.4453498,0.6769615,-0.3575183,-0.8922712,0.7050272,0.68728656,0.5207288,-1.0553799,1.6208594,-1.315953
ACH-000855,-0.48611093,-0.25737205,0.095158696,-0.23295824,-0.81038535,0.20705056,0.16550882,-2.0995436,-0.14036119,-0.21468812
ACH-002051,1.4647132,-1.7717783,-1.1123048,0.41978595,-0.62225306,-1.5333321,0.6224947,-0.3568005,-1.1817145,-1.4989619
ACH-000910,-0.54070127,-1.286711,1.4319382,-0.46830106,0.7039433,0.60910237,-0.564557,-1.5327876,-2.834262,-0.6819219
ACH-000113,-0.41151333,-0.6601588,2.27774,1.694644,3.2067995,0.9868859,0.2818179,-0.5091951,2.033506,0.3070164
